movie_name,ranking,score,score_num
牯岭街少年杀人事件,203,8.8,8
功夫,204,8.4,8
战争之王,205,8.6,8
地球上的星星,206,8.9,8
疯狂的石头,207,8.4,8
初恋这件小事,208,8.3,8
青蛇,209,8.5,8
惊魂记,210,8.9,8
终结者2：审判日,211,8.6,8
源代码,212,8.4,8
爱在午夜降临前,213,8.8,8
步履不停,214,8.8,8
新龙门客栈,215,8.5,8
小萝莉的猴神大叔,216,8.5,8
奇迹男孩,217,8.6,8
一次别离,218,8.7,8
追随,219,8.9,8
再次出发之纽约遇见你,220,8.5,8
无耻混蛋,221,8.5,8
撞车,222,8.6,8
东京物语,223,9.2,9
血钻,224,8.6,8
城市之光,225,9.3,9
彗星来的那一夜,226,8.5,8
2001太空漫游,227,8.7,8
釜山行,228,8.4,8
梦之安魂曲,229,8.7,8
绿里奇迹,230,8.7,8
新世界,231,8.7,8
疯狂的麦克斯4：狂暴之路,232,8.6,8
聚焦,233,8.8,8
E.T. 外星人,234,8.5,8
末路狂花,235,8.7,8
这个男人来自地球,236,8.5,8
黑鹰坠落,237,8.6,8
发条橙,238,8.5,8
遗愿清单,239,8.6,8
变脸,240,8.4,8
勇闯夺命岛,241,8.6,8
国王的演讲,242,8.4,8
我爱你,243,9.0,9
黄金三镖客,244,9.1,9
千钧一发,245,8.7,8
非常嫌疑犯,246,8.6,8
秒速5厘米,247,8.3,8
驴得水,248,8.3,8
四个春天,249,8.9,8
卡萨布兰卡,250,8.6,8
